id;fc_max;soglia_anaerobica;vel_soglia;durata;commento;cond_climatiche;calciatore_id
1;99445;22426;17592;71217;SCARSO;Fish;4
2;64963;74417;84922;72093;SCARSO;turn-key dedicated;3
3;58987;97301;97889;39309;SCARSO;dot-com payment Libyan Dinar;9
4;19524;23018;72245;49919;SCARSO;deposit Chips Applications;10
5;27956;91486;88349;37015;SCARSO;Wisconsin Facilitator Incredible;4
6;38509;19091;85113;26847;SCARSO;Maryland Configuration;7
7;93001;57006;7041;9717;SCARSO;intuitive Open-architected system-worthy;4
8;74076;84866;69701;13662;SCARSO;open-source HDD;10
9;8159;51134;518;50151;SCARSO;extend Unbranded Fresh Pants Tools;6
10;9398;43847;57828;67202;SCARSO;Wallis and Futuna;3
